count,ax,ay,az,gx,gy,gz
250,6240,-452,17940,-983,5404,-273
251,6004,-228,18116,-959,6691,214
252,5692,-180,18076,-697,6876,444
253,6080,-368,17788,-564,7174,747
254,5452,-392,18072,-532,7738,949
255,4864,-552,17916,-446,8007,1288
256,1736,-4,16736,-502,8867,874
257,4716,-1396,18280,-680,9796,361
258,4012,-424,18916,-1164,10250,127
259,3404,-180,17756,-957,10710,228
260,3228,-324,18332,-556,10848,208
261,2708,-340,18388,-569,10910,181
262,2096,-268,18460,-641,10949,80
263,2480,-600,18848,-547,11274,72
264,1652,-404,18324,-679,10654,43
265,1588,-556,18000,-578,10650,44
266,1268,-300,18648,-696,10682,-4
267,976,-164,18788,-694,10380,2
268,760,-380,18932,-581,10173,-37
269,648,-364,18520,-586,10053,-34
270,244,-416,18640,-574,9721,-35
271,48,-548,18536,-537,9547,-52
272,-264,-252,18612,-602,9361,32
273,-116,-872,18624,-569,9135,161
274,-1000,-148,18644,-591,9163,296
275,-1236,-328,18384,-674,9188,402
276,-480,-1040,18716,-700,9322,358
277,996,24,19040,-588,8381,-558
278,340,-344,20344,-558,8175,-1375
279,-2928,-164,17820,-563,8222,-906
280,-1012,-1004,17544,-589,7024,-425
281,-1064,400,18196,-521,6888,-620
282,-1860,4,19440,-517,6375,-534
283,-2052,312,18772,-612,6151,-306
284,-1552,-944,18460,-428,5494,-167
285,-2024,-456,18404,-884,5600,-195
286,-2268,-616,17972,-634,4837,-144
287,-2720,-288,18644,-659,4941,-244
288,-2668,-152,18628,-669,4615,-553
289,-3416,-24,18488,-640,4554,-790
290,-6732,1604,19032,-384,4694,-1747
291,-3036,-1012,19604,-498,1709,-531
292,-3876,480,17916,-1507,2325,352
293,-2876,216,18124,-156,2023,295
294,-4260,-912,18396,-616,359,-34
295,-3276,-580,17784,-772,44,256
296,-3868,-384,18852,-795,-610,550
297,-4116,168,18752,-1103,-1684,449
298,-3704,-88,18636,-811,-2469,291
299,-3948,-632,18780,-928,-3244,509
300,-3500,-424,18156,-1361,-4057,735
301,-3304,-228,18376,-1228,-4895,517
302,-3664,-316,18496,-1118,-5639,580
303,-3100,-208,18692,-1112,-6447,801
304,-2644,60,18704,-1037,-7261,601
305,-2748,-456,18576,-1006,-7899,506
306,-2168,-628,18532,-1124,-8768,477
307,-1904,-488,18724,-1108,-9352,273
308,-1548,-368,18596,-1115,-9970,197
309,-1112,-328,18480,-1121,-10553,286
310,-720,-204,18592,-1032,-11173,384
311,-584,-596,18756,-1030,-11766,462
312,-264,-696,18364,-1001,-12426,585
313,324,-460,18476,-914,-12795,755
314,316,-460,18196,-790,-13346,970
315,360,1336,20296,-1072,-11214,1095
316,-664,-2752,16400,-689,-12641,626
317,884,-840,18352,-1349,-13101,-132
318,2056,-40,18588,-1451,-12673,-234
319,2876,-8,18644,-1108,-12806,-210
320,3104,-400,18544,-937,-12532,-164
321,4320,-640,18012,-882,-11948,-411
322,5244,-456,18100,-707,-11227,-901
323,5904,-484,17580,-806,-10338,-1483
324,5936,-592,17748,-1146,-9290,-1587
325,4312,-336,17672,-1521,-6829,-534
326,6644,-364,18112,-802,-5184,124
327,6760,-404,18244,-379,-4371,23
328,6420,-688,18308,-699,-2375,-256
329,5956,-516,17852,-932,-1562,-50
330,6028,-120,17904,-953,-427,77
331,5528,-416,17784,-733,469,171
332,5236,-424,17912,-557,1098,342
333,5024,-728,18196,-625,1788,444
334,5036,-588,18220,-701,2341,437
335,4780,-516,18296,-825,2618,311
336,4956,-292,18212,-806,2851,84
337,4708,-320,18156,-784,2973,-129
338,4300,-284,18164,-845,3288,-82
339,4232,-508,18384,-813,3448,-76
340,4324,-396,18300,-796,3579,-108
341,4320,-544,18504,-793,3696,-199
342,4276,-624,18188,-854,3660,-297
343,4180,-444,18392,-929,3569,-345
344,1868,1660,17856,-1115,4106,453
345,4676,-840,19212,-444,4679,1041
346,3360,-180,17912,-359,4312,687
347,5128,-652,20408,-576,6083,183
348,3032,-612,18316,-1088,6126,131
349,3552,-88,18188,-1203,6280,49
350,3124,-268,18420,-581,6680,88
351,2604,-424,18552,-466,6704,38
352,2548,-440,18584,-777,6916,-26
353,2540,-312,18536,-801,7088,-126
354,2220,-440,18760,-747,7165,-63
355,1972,-560,18924,-535,7548,42
356,2388,-364,18692,-608,7002,-82
357,1876,-552,18120,-725,7223,-42
358,1476,-384,18480,-822,7404,-105
359,1628,-272,18900,-717,7226,-21
360,1184,-544,18796,-607,7255,-60
361,1260,-484,18492,-664,7355,-75
362,1180,-436,18624,-724,7395,-106
363,968,-584,18576,-681,7490,-123
364,864,-120,18828,-652,7589,-155
365,616,-396,18744,-552,7444,-92
366,428,-496,18672,-716,7573,-49
367,160,-224,18452,-710,7602,-73
368,-216,-436,18268,-627,7805,-76
369,-648,-512,18240,-559,8057,-137
370,-892,-264,18452,-623,8469,-148
371,-932,-268,18388,-681,8834,-148
372,3656,-356,18896,-756,8349,-221
373,-2112,12,18180,-486,6813,-641
374,-616,-764,19116,-652,7231,-67
375,-1892,-260,18844,-805,6256,19
